"編號","單字","詞性","中文意思","英文例句","例句翻譯"
"1","activity","n.","活動","Outdoor activities are good for your health.","戶外活動對你的健康有益。"
"2","actor","n.","男演員","He is a famous actor in Hollywood.","他是好萊塢的知名男演員。"
"3","actress","n.","女演員","She won an award for best actress last night.","她昨晚獲得了最佳女演員獎。"
"4","a.m.","adv.","早上","The meeting starts at 9:00 a.m. tomorrow.","會議將於明天早上九點開始。"
"5","ability","n.","能力","She has the ability to speak three languages.","她有說三種語言的能力。"
"6","able","adj.","能夠","Will you be able to come to my party?","你能夠來參加我的派對嗎？"
"7","actually","adv.","實際上","I actually don't know the answer to this question.","我實際上不知道這個問題的答案。"
"8","about","prep.","大約、關於","The movie is about a brave dog.","這部電影是關於一隻勇敢的狗。"
"9","add","v.","增加","Please add some sugar to my coffee.","請在我的咖啡裡加點糖。"
"10","above","prep.","在...之上","The airplane is flying high above the clouds.","飛機正在雲層之上高高地飛行。"
"11","addition","n.","增加","In addition to English, he can speak French.","除了英文之外，他還會說法文。"
"12","address","n./v.","地址、演說；對付解決","Please write down your mailing address here.","請在這裡寫下您的郵寄地址。"
"13","abroad","adv.","在國外","My brother is currently studying abroad in Japan.","我哥哥目前在國外的日本唸書。"
"14","absent","adj.","缺席的","He was absent from school yesterday because of a cold.","他昨天因為感冒而在學校缺席。"
"15","accept","v.","接受,同意","She decided to accept the job offer.","她決定接受這份工作邀約。"
"16","accident","n.","意外事故,機運","Drive carefully to avoid a car accident.","開車小心以避免車禍意外事故。"
"17","achieve","v.","達成,實現","You can achieve your goals through hard work.","透過努力工作，你可以達成你的目標。"
"18","across","prep./adv.","穿過,橫越","We walked across the street safely.","我們安全地穿過馬路。"
"19","act","v./n.","行動,扮演；行為","Think carefully before you act.","行動前請三思。"
"20","action","n.","行為,作用","Actions speak louder than words.","行為勝於言語。"
"21","admire","v.","欣賞,愛","I really admire your courage to try new things.","我真的很欣賞你嘗試新事物的勇氣。"
"22","admit","v.","承認,准許","He finally admitted his mistake.","他最終承認了他的錯誤。"
"23","adopt","v.","採用,領養","The couple decided to adopt a child from the shelter.","這對夫婦決定領養一個孩子。"
"24","adult","n./adj.","成人；成熟的,成年的","Adults need to pay full price for the museum tickets.","成人需要支付博物館門票的全額票價。"
"25","advance","v./n.","前進,提出","We need to book the train tickets in advance.","我們需要預先預訂火車票。"
"26","advantage","n./v.","有利條件,優點；有利於","Good computer skills are a big advantage in this job.","良好的電腦技能在這份工作中是一個很大的優點。"
"27","advertisement","n.","廣告,宣傳","I saw an advertisement for the new phone on TV.","我在電視上看到了新手機的廣告。"
"28","active","adj.","積極主動的、活潑的","She is an active member of the school sports club.","她是學校運動社團中一位積極主動的成員。"
"29","advice","n.","建議,勸告","Thank you for your helpful advice.","謝謝你實用且有幫助的建議。"
"30","advise","v.","建議,勸告","The doctor advised him to get more rest.","醫生建議他多休息。"
"31","affect","v.","影響","Smoking can affect your health.","抽菸會影響你的健康。"
"32","afraid","adj.","害怕","Don't be afraid of making mistakes.","不要害怕犯錯。"
"33","after","prep./conj./adv.","在...之後","We went home after the movie.","電影結束後我們回家了。"
"34","afternoon","n.","下午","I usually take a nap in the afternoon.","我通常在下午午睡。"
"35","again","adv.","再一次","Can you say that again, please?","請你可以再說一遍嗎？"
"36","against","prep.","反對、對著","They are against the new plan.","他們反對這個新計畫。"
"37","age","n.","年齡","What is your age?","你的年齡是多少？"
"38","ago","adv.","以前","I moved here ten years ago.","我十年前搬到這裡。"
"39","agree","v.","同意","I agree with your idea.","我同意你的點子。"
"40","agreement","n.","同意、協定","We finally reached an agreement.","我們最終達成了一項協議。"
"41","ahead","adv.","在前、領先","There is a gas station ahead.","前方有一間加油站。"
"42","aid","n./v.","幫助","First aid is very important.","急救非常重要。"
"43","aim","v./n.","瞄準、目標","Our aim is to help the poor.","我們的目標是幫助窮人。"
"44","air","n.","空氣、天空","The air is fresh in the mountains.","山上的空氣很清新。"
"45","aircraft","n.","航空器","The military uses different types of aircraft.","軍方使用不同類型的航空器。"
"46","airline","n.","航線、航空公司","Which airline are you flying with?","你搭乘哪家航空公司？"
"47","airplane","n.","飛機","The airplane took off on time.","飛機準時起飛。"
"48","airport","n.","機場","He is waiting for us at the airport.","他正在機場等我們。"
"49","alarm","n./v.","鬧鐘、警報","I set my alarm for 6:00 a.m.","我把鬧鐘設定在早上六點。"
"50","album","n.","相簿、唱片集","This is my favorite photo album.","這是我最喜歡的相簿。"
"51","alike","adj./adv.","相似的","The two sisters look very much alike.","這對姊妹長得很像。"
"52","alive","adj.","活著的","Is the plant still alive?","這株植物還活著嗎？"
"53","all","adj./adv./pron.","全部","All the students are in the classroom.","所有的學生都在教室裡。"
"54","allow","v.","准許","My parents don't allow me to go out late.","我父母不准許我太晚出門。"
"55","almost","adv.","幾乎","It's almost dinner time.","幾乎到晚餐時間了。"
"56","alone","adj./adv.","獨自的","She lives alone in a small house.","她獨自住在一間小房子裡。"
"57","along","prep./adv.","沿著","We walked along the river bank.","我們沿著河岸散步。"
"58","aloud","adv.","大聲地","Please read the story aloud.","請大聲讀出這個故事。"
"59","alphabet","n.","字母","There are 26 letters in the English alphabet.","英文全套字母中有 26 個字母。"
"60","already","adv.","已經","I have already finished my homework.","我已經完成功課了。"
"61","also","adv.","也","He speaks English and he also speaks French.","他會說英文，他也會說法文。"
"62","although","conj.","雖然，但是","Although it was raining, we went for a walk.","雖然正在下雨，我們還是去散步了。"
"63","altogether","adv.","全部合計，總之","That's 500 dollars altogether, please.","這樣總共是 500 元，謝謝。"
"64","always","adv.","總是","She always gets up early in the morning.","她早上總是很早起床。"
"65","am","v.","是","I am a student at this school.","我是這間學校的學生。"
"66","ambulance","n.","救護車","Call an ambulance quickly!","快點叫救護車！"
"67","America","n.","美國","I want to visit America next summer.","我明年夏天想去美國旅遊。"
"68","American","adj./n.","美國的、美國人","Football is a popular American sport.","美式足球是一項受歡迎的美國運動。"
"69","among","prep.","在...之中","She was sitting among her friends.","她當時正坐在她的朋友們之中。"
"70","amount","n./v.","數量、合計","A large amount of money was spent on the project.","這個計畫花費了大量的金錢。"
"71","ancient","adj.","古老的，舊的","We visited an ancient castle in Europe.","我們參觀了歐洲一座古老的城堡。"
"72","and","conj.","和，而且","I like apples and bananas.","我喜歡蘋果和香蕉。"
"73","angel","n.","天使","The little girl looked like a sweet angel.","那個小女孩看起來就像個可愛的天使。"
"74","anger","n./v.","憤怒、使生氣","He tried to control his anger.","他試著控制自己的憤怒。"
"75","angry","adj.","生氣的","Why are you angry with me?","你為什麼在生我的氣？"
"76","animal","n.","動物","The elephant is a very large animal.","大象是一種非常巨大的動物。"
"77","ankle","n.","腳踝","He hurt his ankle while playing basketball.","他打籃球時傷到了腳踝。"
"78","another","adj./pron.","另一個、另一個的","Would you like another cup of tea?","你想再來一杯茶嗎？"
"79","answer","n./v.","答案、回答","Please answer my question.","請回答我的問題。"
"80","ant","n.","螞蟻","Look at the small ant on the table.","看桌上那隻小螞蟻。"
